web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization,title,keywords_fixed,release_date,genres,spoken_languages,production_countries
https://www.nytimes.com/2023/05/04/movies/you-can-live-forever-review.html,Religion comes between two girls falling in love in the 1990s in this sweet coming-of-age film bathed in grunge hues.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'You Can Live Forever (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Slutsky, Mark', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Watts, Sarah (Film Director)', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': ""O'Driscoll, Anwen"", 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Laporte, June (Actor)', 'rank': 6, 'major': 'N'}]",2023-05-04T11:00:08+0000,294,‘You Can Live Forever’ Review: Do You Love Me Now?,,,You Can Live Forever,,,,By Elisabeth Vincentelli,,You Can Live Forever,"subject: Movies; creative_works: You Can Live Forever (Movie); persons: Slutsky, Mark; persons: Watts, Sarah (Film Director); persons: O'Driscoll, Anwen; persons: Laporte, June (Actor)",2023-03-24,"Drama, Romance","English, French","Canada, United States of America"
https://www.nytimes.com/2023/05/04/movies/you-can-live-forever-review.html,Religion comes between two girls falling in love in the 1990s in this sweet coming-of-age film bathed in grunge hues.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'You Can Live Forever (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Slutsky, Mark', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Watts, Sarah (Film Director)', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': ""O'Driscoll, Anwen"", 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Laporte, June (Actor)', 'rank': 6, 'major': 'N'}]",2023-05-04T11:00:08+0000,294,‘You Can Live Forever’ Review: Do You Love Me Now?,,,You Can Live Forever,,,,By Elisabeth Vincentelli,,You Can Live Forever,"subject: Movies; creative_works: You Can Live Forever (Movie); persons: Slutsky, Mark; persons: Watts, Sarah (Film Director); persons: O'Driscoll, Anwen; persons: Laporte, June (Actor)",2023-03-24,"Drama, Romance","English, French","Canada, United States of America"
https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bracey, Luke (1989- )', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Liu, Simu', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Reid, Taylor Jenkins', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Soo, Phillipa', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Fickman, Andy', 'rank': 6, 'major': 'N'}, {'name': 'creative_works', 'value': 'One True Loves (Movie)', 'rank': 7, 'major': 'N'}]",2023-04-13T11:00:06+0000,320,‘One True Loves’ Review: A Romance Lost at Sea,,,One True Loves,,,,By Brandon Yu,,One True Loves,"subject: Movies; persons: Bracey, Luke (1989- ); persons: Liu, Simu; persons: Reid, Taylor Jenkins; persons: Soo, Phillipa; persons: Fickman, Andy; creative_works: One True Loves (Movie)",2023-04-07,"Romance, Comedy, Drama","English, Spanish","Czech Republic, United States of America"
https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bracey, Luke (1989- )', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Liu, Simu', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Reid, Taylor Jenkins', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Soo, Phillipa', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Fickman, Andy', 'rank': 6, 'major': 'N'}, {'name': 'creative_works', 'value': 'One True Loves (Movie)', 'rank': 7, 'major': 'N'}]",2023-04-13T11:00:06+0000,320,‘One True Loves’ Review: A Romance Lost at Sea,,,One True Loves,,,,By Brandon Yu,,One True Loves,"subject: Movies; persons: Bracey, Luke (1989- ); persons: Liu, Simu; persons: Reid, Taylor Jenkins; persons: Soo, Phillipa; persons: Fickman, Andy; creative_works: One True Loves (Movie)",2023-04-07,"Romance, Comedy, Drama","English, Spanish","Czech Republic, United States of America"
https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bracey, Luke (1989- )', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Liu, Simu', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Reid, Taylor Jenkins', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Soo, Phillipa', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Fickman, Andy', 'rank': 6, 'major': 'N'}, {'name': 'creative_works', 'value': 'One True Loves (Movie)', 'rank': 7, 'major': 'N'}]",2023-04-13T11:00:06+0000,320,‘One True Loves’ Review: A Romance Lost at Sea,,,One True Loves,,,,By Brandon Yu,,One True Loves,"subject: Movies; persons: Bracey, Luke (1989- ); persons: Liu, Simu; persons: Reid, Taylor Jenkins; persons: Soo, Phillipa; persons: Fickman, Andy; creative_works: One True Loves (Movie)",2023-04-07,"Romance, Comedy, Drama","English, Spanish","Czech Republic, United States of America"
https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bracey, Luke (1989- )', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Liu, Simu', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Reid, Taylor Jenkins', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Soo, Phillipa', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Fickman, Andy', 'rank': 6, 'major': 'N'}, {'name': 'creative_works', 'value': 'One True Loves (Movie)', 'rank': 7, 'major': 'N'}]",2023-04-13T11:00:06+0000,320,‘One True Loves’ Review: A Romance Lost at Sea,,,One True Loves,,,,By Brandon Yu,,One True Loves,"subject: Movies; persons: Bracey, Luke (1989- ); persons: Liu, Simu; persons: Reid, Taylor Jenkins; persons: Soo, Phillipa; persons: Fickman, Andy; creative_works: One True Loves (Movie)",2023-04-07,"Romance, Comedy, Drama","English, Spanish","Czech Republic, United States of America"
https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bracey, Luke (1989- )', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Liu, Simu', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Reid, Taylor Jenkins', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Soo, Phillipa', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Fickman, Andy', 'rank': 6, 'major': 'N'}, {'name': 'creative_works', 'value': 'One True Loves (Movie)', 'rank': 7, 'major': 'N'}]",2023-04-13T11:00:06+0000,320,‘One True Loves’ Review: A Romance Lost at Sea,,,One True Loves,,,,By Brandon Yu,,One True Loves,"subject: Movies; persons: Bracey, Luke (1989- ); persons: Liu, Simu; persons: Reid, Taylor Jenkins; persons: Soo, Phillipa; persons: Fickman, Andy; creative_works: One True Loves (Movie)",2023-04-07,"Romance, Comedy, Drama","English, Spanish","Czech Republic, United States of America"
https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bracey, Luke (1989- )', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Liu, Simu', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Reid, Taylor Jenkins', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Soo, Phillipa', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Fickman, Andy', 'rank': 6, 'major': 'N'}, {'name': 'creative_works', 'value': 'One True Loves (Movie)', 'rank': 7, 'major': 'N'}]",2023-04-13T11:00:06+0000,320,‘One True Loves’ Review: A Romance Lost at Sea,,,One True Loves,,,,By Brandon Yu,,One True Loves,"subject: Movies; persons: Bracey, Luke (1989- ); persons: Liu, Simu; persons: Reid, Taylor Jenkins; persons: Soo, Phillipa; persons: Fickman, Andy; creative_works: One True Loves (Movie)",2023-04-07,"Romance, Comedy, Drama","English, Spanish","Czech Republic, United States of America"
https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bracey, Luke (1989- )', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Liu, Simu', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Reid, Taylor Jenkins', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Soo, Phillipa', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Fickman, Andy', 'rank': 6, 'major': 'N'}, {'name': 'creative_works', 'value': 'One True Loves (Movie)', 'rank': 7, 'major': 'N'}]",2023-04-13T11:00:06+0000,320,‘One True Loves’ Review: A Romance Lost at Sea,,,One True Loves,,,,By Brandon Yu,,One True Loves,"subject: Movies; persons: Bracey, Luke (1989- ); persons: Liu, Simu; persons: Reid, Taylor Jenkins; persons: Soo, Phillipa; persons: Fickman, Andy; creative_works: One True Loves (Movie)",2023-04-07,"Romance, Comedy, Drama","English, Spanish","Czech Republic, United States of America"
https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bracey, Luke (1989- )', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Liu, Simu', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Reid, Taylor Jenkins', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Soo, Phillipa', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Fickman, Andy', 'rank': 6, 'major': 'N'}, {'name': 'creative_works', 'value': 'One True Loves (Movie)', 'rank': 7, 'major': 'N'}]",2023-04-13T11:00:06+0000,320,‘One True Loves’ Review: A Romance Lost at Sea,,,One True Loves,,,,By Brandon Yu,,One True Loves,"subject: Movies; persons: Bracey, Luke (1989- ); persons: Liu, Simu; persons: Reid, Taylor Jenkins; persons: Soo, Phillipa; persons: Fickman, Andy; creative_works: One True Loves (Movie)",2023-04-07,"Romance, Comedy, Drama","English, Spanish","Czech Republic, United States of America"
https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bracey, Luke (1989- )', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Liu, Simu', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Reid, Taylor Jenkins', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Soo, Phillipa', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Fickman, Andy', 'rank': 6, 'major': 'N'}, {'name': 'creative_works', 'value': 'One True Loves (Movie)', 'rank': 7, 'major': 'N'}]",2023-04-13T11:00:06+0000,320,‘One True Loves’ Review: A Romance Lost at Sea,,,One True Loves,,,,By Brandon Yu,,One True Loves,"subject: Movies; persons: Bracey, Luke (1989- ); persons: Liu, Simu; persons: Reid, Taylor Jenkins; persons: Soo, Phillipa; persons: Fickman, Andy; creative_works: One True Loves (Movie)",2023-04-07,"Romance, Comedy, Drama","English, Spanish","Czech Republic, United States of America"
https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bracey, Luke (1989- )', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Liu, Simu', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Reid, Taylor Jenkins', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Soo, Phillipa', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Fickman, Andy', 'rank': 6, 'major': 'N'}, {'name': 'creative_works', 'value': 'One True Loves (Movie)', 'rank': 7, 'major': 'N'}]",2023-04-13T11:00:06+0000,320,‘One True Loves’ Review: A Romance Lost at Sea,,,One True Loves,,,,By Brandon Yu,,One True Loves,"subject: Movies; persons: Bracey, Luke (1989- ); persons: Liu, Simu; persons: Reid, Taylor Jenkins; persons: Soo, Phillipa; persons: Fickman, Andy; creative_works: One True Loves (Movie)",2023-04-07,"Romance, Comedy, Drama","English, Spanish","Czech Republic, United States of America"
https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bracey, Luke (1989- )', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Liu, Simu', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Reid, Taylor Jenkins', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Soo, Phillipa', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Fickman, Andy', 'rank': 6, 'major': 'N'}, {'name': 'creative_works', 'value': 'One True Loves (Movie)', 'rank': 7, 'major': 'N'}]",2023-04-13T11:00:06+0000,320,‘One True Loves’ Review: A Romance Lost at Sea,,,One True Loves,,,,By Brandon Yu,,One True Loves,"subject: Movies; persons: Bracey, Luke (1989- ); persons: Liu, Simu; persons: Reid, Taylor Jenkins; persons: Soo, Phillipa; persons: Fickman, Andy; creative_works: One True Loves (Movie)",2023-04-07,"Romance, Comedy, Drama","English, Spanish","Czech Republic, United States of America"
https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bracey, Luke (1989- )', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Liu, Simu', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Reid, Taylor Jenkins', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Soo, Phillipa', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Fickman, Andy', 'rank': 6, 'major': 'N'}, {'name': 'creative_works', 'value': 'One True Loves (Movie)', 'rank': 7, 'major': 'N'}]",2023-04-13T11:00:06+0000,320,‘One True Loves’ Review: A Romance Lost at Sea,,,One True Loves,,,,By Brandon Yu,,One True Loves,"subject: Movies; persons: Bracey, Luke (1989- ); persons: Liu, Simu; persons: Reid, Taylor Jenkins; persons: Soo, Phillipa; persons: Fickman, Andy; creative_works: One True Loves (Movie)",2023-04-07,"Romance, Comedy, Drama","English, Spanish","Czech Republic, United States of America"
https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bracey, Luke (1989- )', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Liu, Simu', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Reid, Taylor Jenkins', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Soo, Phillipa', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Fickman, Andy', 'rank': 6, 'major': 'N'}, {'name': 'creative_works', 'value': 'One True Loves (Movie)', 'rank': 7, 'major': 'N'}]",2023-04-13T11:00:06+0000,320,‘One True Loves’ Review: A Romance Lost at Sea,,,One True Loves,,,,By Brandon Yu,,One True Loves,"subject: Movies; persons: Bracey, Luke (1989- ); persons: Liu, Simu; persons: Reid, Taylor Jenkins; persons: Soo, Phillipa; persons: Fickman, Andy; creative_works: One True Loves (Movie)",2023-04-07,"Romance, Comedy, Drama","English, Spanish","Czech Republic, United States of America"
